Latitude,Longitude,Bedrooms,Bathrooms,Square Feet,Year Built
28.33936905,-81.38127439,4,2,1852,1995
28.28843019,-81.45801617,3,2,1301,1986
27.88394383,-82.33746331,3,2,1445,2001
27.89518334,-82.23113717,4,3,2102,1991
28.19128519,-81.60820641,3,2,1482,2023
33.54148732,-112.2172442,7,4.5,3687,2023
33.41268171,-111.7117096,4,2,2111,2023
33.43738948,-111.7524566,4,2,2046,2023
33.51327179,-112.454164,3,2.5,1967,2020
33.43542446,-112.5285049,4,3,2051,2007
33.39142022,-112.2125744,5,3,2350,2006
33.64028564,-112.2380029,4,3,2003,2023
33.58466305,-112.0650906,3,2,2082,1957
33.65749171,-112.065736,3,2.5,1586,1984
33.39344715,-111.7685552,5,3.5,2888,2019
33.53376962,-112.3220781,4,2,1747,1998
33.58712485,-112.1234728,3,2,1222,1970
33.53265985,-112.4309767,5,3,1952,2023
33.39153631,-111.9431914,3,2,1670,1974
33.30010453,-111.700724,6,3,3438,2021
33.49636758,-112.2215994,3,1.75,1354,1987
33.62435832,-112.4079676,4,2,1672,2002
33.6604816,-112.0287822,4,2.5,1847,1996
33.46340364,-111.8144867,3,2,1219,1986
33.73275883,-84.15089624,4,2,1699,1983
33.90507187,-84.80607279,4,3,2348,2006
33.33276049,-112.1485382,4,3,2178,2022
33.61149406,-112.3281857,3,2,1197,2003
33.49378743,-111.8679663,3,2.5,1764,1986
33.49674073,-112.7234576,4,2,1724,2021
33.48079922,-112.3538184,3,2,1416,1996
33.65072374,-111.7532008,4,2,1952,1990
33.53348139,-112.0639537,2,1,1758,1959
33.17892618,-111.5278384,3,2,1492,2007
33.61687287,-112.3043808,4,2.5,1462,2004
33.41082863,-112.1703404,4,2.5,1424,2002
33.65593917,-112.2212817,3,3,2166,1986
33.00413975,-111.3625503,5,2,2165,2018
33.85078097,-112.0964634,3,2,1455,2003
33.62521658,-112.1052355,4,3,2724,1970
33.63233567,-112.2365583,4,2,1917,1998
33.39794611,-111.9248506,4,2,1588,1959
33.6138607,-112.3588892,3,2,1290,2001
33.69628231,-112.2908825,4,2.5,2040,1999
33.52864823,-112.2972681,5,2,1630,1999
33.69245779,-112.4528256,5,3,1931,2021
33.47080832,-112.079024,4,2,1703,1950
33.60289336,-112.1012522,3,2,1061,1983
33.40588074,-112.5075662,3,2,1428,2022
33.65412554,-112.1123548,3,2,1049,1995
33.56759637,-112.2775199,3,2,1767,2001
33.22056368,-111.5223702,5,3,2646,2006
33.47620365,-112.19843,4,2.5,1684,2017
33.33024789,-111.9097787,4,2.5,1895,1995
33.55022816,-112.4517137,5,3,1972,2022
26.58410762,-81.9449639,2,2,1275,1973
26.71238024,-81.94121328,3,2,1612,2006
28.24445993,-82.72222305,2,2,905,1977
27.91180198,-82.81990805,3,2,1057,1972
28.21515903,-81.45798478,5,3,3385,2006
27.94674854,-82.81452445,3,2,1356,1959
28.10253045,-82.32201853,3,2,1598,2001
27.49336023,-82.56156568,4,2,1286,1959
27.01726778,-82.10679365,3,2,1318,1961
28.24502059,-82.27872468,3,2,1708,2021
28.55800056,-81.40387616,4,2,1224,1955
32.24230493,-110.9301679,2,1,861,1926
32.34018178,-111.0602125,4,2,1538,1985
36.24663077,-115.135104,4,3,1976,2006
36.14886944,-115.3648644,3,2,1882,2017
36.02979627,-115.2005967,3,2,1313,2004
36.23338724,-115.1620682,3,2,1374,2007
36.28877036,-115.1577885,3,3,1876,1994
36.17123008,-115.3182907,4,3,2415,2005
36.08544921,-115.1999854,3,3,2006,2006
35.9938378,-115.0587895,4,3,2006,1995
36.23843342,-115.3256756,3,3,1501,2004
36.16988369,-115.221649,3,2,1310,1964
36.0701106,-115.2340761,4,3,1667,2004
28.64276045,-81.25540722,3,2,2001,1987
27.39259604,-82.48672208,3,2,1506,1988
27.71928086,-82.33860807,3,2,1642,2002
27.72923262,-82.44154234,4,2,1944,2022
28.8099595,-81.29347469,3,3,1905,2000
32.7183674,-96.66582485,3,2,1349,2005
34.16581622,-84.17317714,4,3,2126,2008
34.01822668,-83.96250068,4,3,2449,2002
33.86931983,-83.85421817,4,3,2271,2023
33.79046424,-83.89396524,4,3,2576,2023
25.87021366,-80.28408148,6,4,2901,2023
33.13529185,-97.10225616,3,2,1791,2015
33.3991173,-96.7538083,4,2,2004,2021
29.89552717,-95.68423339,4,2,1542,1984
29.90970702,-94.83167305,3,2,1495,1990
28.27974838,-81.49393051,4,2,1976,2013
28.52458082,-81.62167737,3,3,1493,2003
28.42609686,-81.22035432,3,2,1620,2023
28.48201126,-81.53413822,4,2,2117,2005
28.29794614,-81.22871033,3,3,1746,2021
35.25440129,-81.18879888,3,2,1248,1926
34.93432699,-80.76537314,3,2,1709,2002
32.59794409,-97.78932184,5,4,2598,2023
33.05428365,-96.74638916,4,2,2087,1994
32.4274072,-96.9964422,3,2,2044,2001
32.51962234,-96.88541036,4,2,1803,2023
33.07867865,-96.74142651,3,3,2143,1996
32.70091188,-97.06093648,3,2,1499,1981
33.19638237,-96.48840884,4,2,1894,2016
29.78959773,-95.83309194,3,2,1766,1994
27.5394418,-82.480001,3,2,1397,2018
28.5642737,-81.8054387,3,2,1751,2005
29.71809529,-95.53653681,4,2,2081,1965
28.26576323,-82.73760844,3,2,1013,1963
29.65098266,-95.5306946,3,2.1,1494,1982
28.20491797,-82.66676962,6,3,2485,1998
30.05404047,-95.17143877,4,2,2185,1978
29.60663722,-95.71428128,3,2,1974,1997
29.60720226,-95.15354604,3,2,1837,2010
34.21471907,-84.18160957,5,4,3533,2017
34.33695075,-84.06201191,3,3,1356,2003
34.18637021,-83.98237668,3,2,1949,1995
28.29484697,-81.19888082,5,3,2606,2021
26.5994059,-81.75613369,3,2,1684,1996
28.0358177,-81.79340538,3,2,1774,1955
36.04223098,-115.3019171,5,3,3705,2006
29.82255497,-95.65845766,4,2,2219,1979
36.17215162,-115.3106771,3,2,1646,2000
36.10197387,-115.2069419,4,3,2134,1980
30.18953425,-95.21746451,4,2.1,1810,2023
28.37026753,-82.2209848,3,2,1325,2008
28.43831691,-81.580696,3,2,1870,2005
26.02505051,-80.15365852,2,2,1298,1958
25.93105171,-80.28931232,3,2,1573,1997
26.10762028,-80.17086493,4,3,2175,2001
25.60358709,-80.32593379,4,3,1871,2001
25.87105224,-80.3120354,2,2,849,1988
25.47463236,-80.49397878,3,2,1264,2020
27.31313402,-80.32357631,3,2,1403,1962
25.96613036,-80.241771,3,2,1874,1968
25.98121463,-80.17532275,4,2,1798,1957
33.92600182,-84.76878503,3,2,1918,2005
33.72655253,-84.16118326,4,3,1355,1987
33.80470717,-84.03850064,4,2,2172,1800
33.38215169,-84.74177825,3,2,1533,1996
33.3895262,-84.7798726,4,4,2824,2006
33.3652086,-84.75936291,3,3,1605,2007
33.37826536,-84.77004105,4,3,2921,2006
25.9914794,-80.39997366,3,2,1301,2001
25.89202764,-80.36151984,1,1,1423,1994
26.1461687,-80.22072753,3,2,1107,1963
26.02157507,-80.18641137,2,1,1125,1962
33.75341565,-84.86442924,4,3,2481,2004
33.55036667,-84.42326462,3,2,1414,1980
33.38541794,-84.13585168,3,2,1540,2000
34.18089919,-84.54971277,4,3,2167,2003
33.63571882,-84.57302744,4,3,2855,2005
33.38952406,-112.2433858,5,3,2044,2023
33.64099629,-112.1953316,3,2,1611,1998
33.06585423,-111.9914275,3,2,1345,2007
33.44792594,-112.4657657,4,3,2585,2021
33.06692423,-111.4748157,4,3,2207,2019
33.27478041,-111.7759321,4,2.5,2070,1998
33.45182477,-111.7475089,4,2.5,2019,2023
33.4361777,-111.742061,4,2.5,2140,2023
33.46443669,-111.7091303,4,2.5,2118,2023
33.45600469,-111.6998762,4,2.5,2133,2023
33.23560213,-111.5590213,5,2.5,2704,2004
